発売日,希望小売価格,カード枚数
1996年10月20日,300円,10
1997年3月5日,300円,10
1997年6月21日,300円,10
1997年11月21日,300円,10
1998年10月24日,300円,10
1999年6月25日,300円,10
2000年2月4日,300円,10
2000年7月7日,300円,10
2000年11月23日,300円,10
2001年4月20日,300円,10
2001年12月1日,191円,5
2002年3月8日,191円,5
2002年5月24日,191円,5
2002年8月23日,191円,5
2002年10月4日,191円,5
2003年1月31日,300円,11
2003年4月18日,300円,11
2003年6月25日,300円,11
2003年10月24日,300円,10
2004年1月16日,300円,11
2004年4月9日,300円,11
2004年7月1日,300円,11
2004年10月15日,300円,11
2005年4月8日,300円,11
2005年6月30日,300円,11
2005年10月28日,300円,11
2006年1月27日,300円,10
2006年3月10日,300円,11
2006年6月29日,300円,11
2006年11月30日,300円,11
2007年3月2日,300円,11
2007年7月5日,300円,11
2007年10月26日,300円,11
2007年10月26日,300円,11
2008年3月14日,300円,11
2008年3月14日,300円,11
2008年7月10日,300円,11
2008年10月10日,300円,11
2008年12月26日,300円,11
2009年3月6日,300円,11
2009年7月8日,300円,11
2009年10月9日,300円,11
2009年10月9日,300円,11
2010年2月11日,300円,11
2010年4月16日,191円,7
2010年7月8日,300円,11
2010年12月17日,150円,5
2011年7月15日,150円,5
2011年9月16日,150円,5
2011年9月16日,150円,5
2011年12月16日,150円,5
2012年1月27日,300円,5
2012年3月16日,150円,5
2012年3月16日,150円,5
2012年7月13日,150円,5
2012年7月13日,150円,5
2012年9月14日,150円,5
2012年12月14日,150円,5
2012年12月14日,150円,5
2013年2月1日,180円,4
2013年3月15日,150円,5
2013年7月13日,150円,5
2013年12月13日,150円,5
2013年12月13日,150円,5
2014年3月15日,150円,5
2014年6月14日,150円,5
2014年9月13日,150円,5
2014年12月3日,150円,5
2014年12月3日,150円,5
2015年1月30日,186円,6
2015年3月14日,150円,5
2015年6月20日,150円,5
2015年7月18日,186円,4
2015年9月26日,150円,5
2015年9月26日,150円,5
2015年12月11日,150円,5
2016年1月29日,186円,4
2016年3月18日,150円,5
2016年6月17日,150円,5
2016年6月17日,150円,5
2016年7月16日,186円,4
2017年1月27日,253円,5
2017年3月17日,165円,5
2017年3月17日,165円,5
2017年4月21日,253円,5
2017年6月16日,165円,5
2017年6月16日,165円,5
2017年7月15日,253円,6
2017年9月15日,165円,5
2017年6月16日,165円,5
2017年12月8日,165円,5
2017年12月8日,165円,5
2018年1月19日,253円,5
2018年3月2日,165円,5
2018年4月6日,165円,5
2018年5月3日,165円,5
2018年6月1日,165円,5
2018年7月6日,165円,5
2018年8月3日,165円,5
2018年9月7日,165円,5
2018年10月5日,165円,5
2018年12月7日,165円,5
2019年1月11日,165円,5
2019年3月1日,165円,5
2019年4月26日,220円,4
2019年4月5日,165円,5
2019年4月26日,165円,5
2019年5月31日,165円,5
2019年7月5日,165円,5
2019年8月2日,165円,5
2019年9月6日,165円,5
2019年7月5日,165円,5
